Date,Sales
01/01/07,4600.06598721839
02/01/07,5700.18357240679
03/01/07,6800.38100357021
04/01/07,7900.93901871535
05/01/07,9000.86587433927
06/01/07,10100.5398041857
07/01/07,5700.35040603814
08/01/07,6800.56316488288
09/01/07,7900.25367443459
10/01/07,9000.51953053011
11/01/07,10100.3589295549
12/01/07,11200.3345043337
01/01/08,5800.07066991595
02/01/08,6900.20793236042
03/01/08,8000.6550972041
04/01/08,9100.80155964785
05/01/08,10200.5307005054
06/01/08,11300.8579036338
07/01/08,6900.58868793196
08/01/08,8000.49183793895
09/01/08,9100.56491229835
10/01/08,10200.2704184953
11/01/08,11300.5917572052
12/01/08,12400.7996040053
01/01/09,7000.38597183069
02/01/09,8100.4005064627
03/01/09,9200.73144128077
04/01/09,10300.9384368398
05/01/09,11400.6529519186
06/01/09,12500.9848089898
07/01/09,8100.24877702372
08/01/09,9200.6431931733
09/01/09,10300.7415177133
10/01/09,11400.5584244389
11/01/09,12500.966039325
12/01/09,13600.533211895
01/01/10,8200.48290138809
02/01/10,9300.80012624448
03/01/10,10400.47072612
04/01/10,11500.7639131118
05/01/10,12600.2409883243
06/01/10,13700.4510450296
07/01/10,9300.21254393219
08/01/10,10400.5643203064
09/01/10,11500.9247348733
10/01/10,12600.4429998294
11/01/10,13700.2380299023
12/01/10,14800.4577412529
01/01/11,9400.69968783357
02/01/11,10500.8936277974
03/01/11,11600.0391095965
04/01/11,12700.7396895833
05/01/11,13800.5233003197
06/01/11,14900.1996361403
07/01/11,10500.6413215756
08/01/11,11600.2083161431
09/01/11,12700.8919080659
10/01/11,13800.9130295931
11/01/11,14900.4082809545
12/01/11,16000.5264883024
01/01/12,10600.9865589779
02/01/12,11700.8938228759
03/01/12,12800.1924153908
04/01/12,13900.6954074663
05/01/12,15000.3101473586
06/01/12,16100.4739202659
07/01/12,11700.4418281413
08/01/12,12800.1486121331
09/01/12,13900.9709077354
10/01/12,15000.893541853
11/01/12,16100.4966756493
12/01/12,17200.2199821537
01/01/13,11800.4909460764
02/01/13,12900.8656843673
03/01/13,14000.4792198844
04/01/13,15100.7555439318
05/01/13,16200.6856334402
06/01/13,17300.2508862244
07/01/13,12900.8915635124
08/01/13,14000.8646700317
09/01/13,15100.7826792677
10/01/13,16200.8309792124
11/01/13,17300.6162363849
12/01/13,18400.6055939471
01/01/14,13000.1842665186
02/01/14,14100.7620181401
03/01/14,15200.7129979618
04/01/14,16300.0217798407
05/01/14,17400.5756523987
06/01/14,18500.7686414181
07/01/14,14100.0045477932
08/01/14,15200.2755592242
09/01/14,16300.427644161
10/01/14,17400.6279089402
11/01/14,18500.5706848959
12/01/14,19600.647643327
01/01/15,14200.2235862506
02/01/15,15300.1432975369
03/01/15,16400.3199023537
04/01/15,17500.5779035879
05/01/15,18600.0885350937
06/01/15,19700.1123010421
07/01/15,15300.2137060634
08/01/15,16400.5679941242
09/01/15,17500.1088870681
10/01/15,18600.6313486755
11/01/15,19700.035200589
12/01/15,20800.7483335105
01/01/16,15400.7150070759
02/01/16,16500.2104511144
03/01/16,17600.5872565082
04/01/16,18700.7538589224
05/01/16,19800.7483461485
06/01/16,20900.4477454917
07/01/16,16500.058710295
08/01/16,17600.1057566646
09/01/16,18700.4920856857
10/01/16,19800.4675280784
11/01/16,20900.9143694534
12/01/16,22000.2541995731
